repo	family	line_no	category_guess	text
0xJacky/nginx-ui	CLAUDE.md	100	unclassified	- 生成 find 命令的时候应该排除掉 ./.go/ 这个文件夹，因为那里面是 devcontainer 的依赖
AlexsJones/llmfit	AGENTS.md	15	unclassified	- No nightly features required. Stable toolchain only.
AlexsJones/llmfit	AGENTS.md	16	unclassified	- Minimum supported Rust version: whatever edition 2024 requires (1.85+).
AlexsJones/llmfit	AGENTS.md	68	unclassified	- Generated by `scripts/scrape_hf_models.py` (Python, stdlib only, no pip deps).
AlexsJones/llmfit	AGENTS.md	76	unclassified	Do not manually edit `hf_models.json`. Regenerate it by running the scraper:
AlexsJones/llmfit	AGENTS.md	82	unclassified	The scraper has hardcoded fallback entries for gated models that require authentication.
AlexsJones/llmfit	AGENTS.md	87	unclassified	- No `.unwrap()` on user-facing paths. Use proper error handling or `expect()` with a descriptive message for internal invariants only.
AlexsJones/llmfit	AGENTS.md	88	unclassified	- Fit levels are ordered: Perfect > Good > Marginal > TooTight. Do not add levels without updating `rank_models_by_fit()` sort logic.
AlexsJones/llmfit	AGENTS.md	90	unclassified	- `min_vram_gb` is the VRAM needed to load model weights on GPU. `min_ram_gb` is the system RAM needed for CPU-only inference (same weights, loaded into RAM instead). They represent the same workload on different hardware paths.
AlexsJones/llmfit	AGENTS.md	92	unclassified	- TUI rendering is stateless. `tui_ui::draw()` must not mutate `App`. Pass `&mut App` only for `TableState` widget requirements -- do not use it to change application state.
AlexsJones/llmfit	AGENTS.md	94	unclassified	- Keep `display.rs` and `tui_*.rs` independent. The CLI path must work without initializing any TUI state.
AlexsJones/llmfit	AGENTS.md	99	unclassified	2. If the model is gated (requires HF auth), add a fallback entry to the `FALLBACK` dict in the same script.
AlexsJones/llmfit	AGENTS.md	130	unclassified	- `sysinfo` is the system detection crate. Do not replace it with raw platform calls.
AlexsJones/llmfit	AGENTS.md	131	unclassified	- `ratatui` + `crossterm` is the TUI stack. Do not mix in `termion` or `ncurses`.
AlexsJones/llmfit	AGENTS.md	132	unclassified	- `clap` with derive feature for CLI parsing. Do not use manual arg parsing.
AlexsJones/llmfit	AGENTS.md	133	unclassified	- The Python scraper uses only stdlib (`urllib`, `json`). Do not add pip dependencies.
Alishahryar1/free-claude-code	AGENTS.md	8	unclassified	- Install Python 3.14.0 stable using `uv python install 3.14.0` if not already installed (requires uv >=0.9; see `[tool.uv] required-version` in `pyproject.toml`)
Alishahryar1/free-claude-code	AGENTS.md	9	unclassified	- Always use `uv run` to run files instead of the global `python` command.
Alishahryar1/free-claude-code	AGENTS.md	10	unclassified	- Current uv ruff formatter is set to py314 which has supports multiple exception types without paranthesis (except TypeError, ValueError:)
Alishahryar1/free-claude-code	AGENTS.md	12	unclassified	- All CI checks must pass; failing checks block merge.
Alishahryar1/free-claude-code	AGENTS.md	15	unclassified	- Do not add `# type: ignore` or `# ty: ignore`; fix the underlying type issue.
Alishahryar1/free-claude-code	AGENTS.md	17	unclassified	- Branch protection: set **required status checks** to **all** of those statuses (e.g. **Ban type ignore suppressions**, **ruff-format**, **ruff-check**, **ty**, **pytest**—use the exact labels GitHub shows, which may be prefixed with **CI /**). Remove **ci** from required checks if it was previousl
Alishahryar1/free-claude-code	AGENTS.md	27	unclassified	- **Shared utilities**: Put shared Anthropic protocol logic in neutral `core/anthropic/` modules. Do not have one provider import from another provider's utils.
Alishahryar1/free-claude-code	AGENTS.md	34	unclassified	- **No type ignores**: Do not add `# type: ignore` or `# ty: ignore`. Fix the underlying type issue.
Alishahryar1/free-claude-code	AGENTS.md	35	unclassified	- **Complete migrations**: When moving modules, update imports to the new owner and remove old compatibility shims in the same change unless preserving a published interface is explicitly required.
Alishahryar1/free-claude-code	AGENTS.md	40	unclassified	1. **ANALYZE**: Read relevant files. Do not guess.
Alishahryar1/free-claude-code	AGENTS.md	41	unclassified	2. **PLAN**: Map out the logic. Identify root cause or required changes. Order changes by dependency.
Alishahryar1/free-claude-code	AGENTS.md	49	unclassified	- Summaries must be technical and granular.
Alishahryar1/free-claude-code	AGENTS.md	54	unclassified	- Prefer built-in tools (grep, read_file, etc.) over manual workflows. Check tool availability before use.
Alishahryar1/free-claude-code	CLAUDE.md	1	unclassified	IMPORTANT: Ensure you’ve thoroughly reviewed the [AGENTS.md](AGENTS.md) file before beginning any work.
AstrBotDevs/AstrBot	AGENTS.md	24	vcs-commit/push(E2/E5/E11);test-before(E5)	AstrBot uses [pre-commit](https://pre-commit.com/) hooks to automatically format and lint Python code before each commit. The hooks run `ruff check`, `ruff format`, and `pyupgrade` (see [`.pre-commit-config.yaml`](.pre-commit-config.yaml) for details).
AstrBotDevs/AstrBot	AGENTS.md	44	unclassified	1. When modifying the WebUI, be sure to maintain componentization and clean code. Avoid duplicate code.
AstrBotDevs/AstrBot	AGENTS.md	45	unclassified	2. Do not add any report files such as xxx_SUMMARY.md.
AstrBotDevs/AstrBot	AGENTS.md	47	unclassified	4. When committing, ensure to use conventional commits messages, such as `feat: add new agent for data analysis` or `fix: resolve bug in provider manager`.
BerriAI/litellm	AGENTS.md	45	unclassified	- Ensure compatibility with both Pydantic v1 and v2
BerriAI/litellm	AGENTS.md	55	unclassified	1. **Always use `antd` for new UI components — Tremor is DEPRECATED**
BerriAI/litellm	AGENTS.md	56	unclassified	- We are migrating off of `@tremor/react`. Do not introduce new `Badge`, `Text`, `Card`, `Grid`, `Title`, or other imports from `@tremor/react` in any new or modified file.
BerriAI/litellm	AGENTS.md	58	unclassified	- The only exception is the Tremor Table component and its required Tremor Table sub components.
BerriAI/litellm	AGENTS.md	62	unclassified	- Use these components as much as possible and avoid building new components unless needed
BerriAI/litellm	AGENTS.md	67	unclassified	- **Always use `screen`** instead of destructuring from `render()` (e.g., use `screen.getByText()` not `getByText`)
BerriAI/litellm	AGENTS.md	68	unclassified	- **Wrap user interactions in `act()`**: Always wrap `fireEvent` calls with `act()` to ensure React state updates are properly handled
BerriAI/litellm	AGENTS.md	70	unclassified	- **Test names must start with "should"**: All test names should follow the pattern `it("should ...")`
BerriAI/litellm	AGENTS.md	76	unclassified	- **Avoid using `querySelector`**: Prefer React Testing Library queries over direct DOM manipulation
BerriAI/litellm	AGENTS.md	145	unclassified	- Ensure `make test-unit` passes
BerriAI/litellm	AGENTS.md	171	unclassified	- Some features are enterprise-only
BerriAI/litellm	AGENTS.md	175	unclassified	## COMMON PITFALLS TO AVOID
BerriAI/litellm	AGENTS.md	177	unclassified	1. **Breaking Changes**: LiteLLM has many users - avoid breaking existing APIs
BerriAI/litellm	AGENTS.md	182	unclassified	6. **UI/Backend Contract Mismatch**: When adding a new entity type to the UI, always check whether the backend endpoint accepts a single value or an array. Match the UI control accordingly (single-select vs. multi-select) to avoid silently dropping user selections
BerriAI/litellm	AGENTS.md	183	unclassified	7. **Missing Tests for New Entity Types**: When adding a new entity type (e.g., in `EntityUsage`, `UsageViewSelect`), always add corresponding tests in the existing test files and update any icon/component mocks
BerriAI/litellm	AGENTS.md	184	unclassified	8. **Raw SQL in proxy DB code**: Do not use `execute_raw` or `query_raw` for proxy database access. Use Prisma model methods (e.g. `prisma_client.db.litellm_tooltable.upsert()`, `.find_many()`, `.find_unique()`) so behavior stays consistent with the schema, the client stays mockable in tests, and yo
BerriAI/litellm	AGENTS.md	186	unclassified	8. **Do not hardcode model-specific flags**: Put model-specific capability flags in `model_prices_and_context_window.json` and read them via `get_model_info` (or existing helpers like `supports_reasoning`). This prevents users from needing to upgrade LiteLLM each time a new model supports a feature.
BerriAI/litellm	AGENTS.md	216	unclassified	Using helpers like `supports_reasoning` (which read from `model_prices_and_context_window.json` / `get_model_info`) allows future model updates to "just work" without code changes.
BerriAI/litellm	AGENTS.md	218	unclassified	9. **Never close HTTP/SDK clients on cache eviction**: Do not add `close()`, `aclose()`, or `create_task(close_fn())` inside `LLMClientCache._remove_key()` or any cache eviction path. Evicted clients may still be held by in-flight requests; closing them causes `RuntimeError: Cannot send a request, a
BerriAI/litellm	AGENTS.md	230	unclassified	- Ensure comprehensive test coverage
BerriAI/litellm	AGENTS.md	267	unclassified	The proxy takes ~15-20 seconds to fully start (it runs Prisma migrations on boot). Wait for `/health` to return before sending requests. Without a PostgreSQL `DATABASE_URL`, the proxy connects to a default Neon dev database embedded in the `litellm-proxy-extras` package.
BerriAI/litellm	AGENTS.md	274	unclassified	- The `--timeout` pytest flag is NOT available; don't pass it.
BerriAI/litellm	AGENTS.md	276	test-before(E5)	- **Before committing, always run `uv run black .` to format your code.** Black formatting is enforced in CI.
BerriAI/litellm	AGENTS.md	290	unclassified	- The proxy at port 4000 serves a **pre-built** static UI from `litellm/proxy/_experimental/out/`. After making UI code changes, you must run `npm run build` in the dashboard directory and copy the output: `cp -r ui/litellm-dashboard/out/* litellm/proxy/_experimental/out/` for the proxy to serve the
BerriAI/litellm	AGENTS.md	291	unclassified	- SVGs used as provider logos (loaded via `<img>` tags) must NOT use `fill="currentColor"` — replace with an explicit color like `#000000` or use the `-color` variant from lobehub icons, since CSS color inheritance does not work inside `<img>` elements.
BerriAI/litellm	AGENTS.md	292	unclassified	- Provider logos live in `ui/litellm-dashboard/public/assets/logos/` (source) and `litellm/proxy/_experimental/out/assets/logos/` (pre-built). Both locations must have the file for it to work in dev and proxy-served modes.
BerriAI/litellm	CLAUDE.md	7	unclassified	Documentation lives in a separate repository: [BerriAI/litellm-docs](https://github.com/BerriAI/litellm-docs). It is served at [docs.litellm.ai](https://docs.litellm.ai). Do not create or edit documentation files in this repository — open doc PRs against `BerriAI/litellm-docs` instead.
BerriAI/litellm	CLAUDE.md	25	unclassified	- `make lint-ruff` - Run Ruff linting only
BerriAI/litellm	CLAUDE.md	26	unclassified	- `make lint-mypy` - Run MyPy type checking only
BerriAI/litellm	CLAUDE.md	27	test-before(E5)	- **Before committing, always run `uv run black .` to format your code.** Black formatting is enforced in CI.
BerriAI/litellm	CLAUDE.md	50	unclassified	- Ensure `make test-unit` passes
BerriAI/litellm	CLAUDE.md	97	unclassified	- Type hints required for all public APIs
BerriAI/litellm	CLAUDE.md	98	unclassified	- **Avoid imports within methods** — place all imports at the top of the file (module-level). Inline imports inside functions/methods make dependencies harder to trace and hurt readability. The only exception is avoiding circular imports where absolutely necessary.
BerriAI/litellm	CLAUDE.md	100	unclassified	- **Guard at resolution time** — when resolving an optional value through a fallback chain (`a or b or ""`), raise immediately if the resolved result being empty is an error. Don't pass empty strings or sentinel values downstream for the callee to deal with.
BerriAI/litellm	CLAUDE.md	102	unclassified	- **FastAPI parameter declarations** — mark required query/form params with `= Query(...)` / `= Form(...)` explicitly when other params in the same handler are optional. Mixing `str` (required) with `Optional[str] = None` in the same signature causes silent 422s when the required param is missing.
BerriAI/litellm	CLAUDE.md	109	unclassified	- **Always add tests when adding new entity types or features** — if the existing test file covers other entity types, add corresponding tests for the new one
BerriAI/litellm	CLAUDE.md	111	unclassified	- **Test all branches of name→ID resolution** — when adding server/resource lookup that resolves names to UUIDs, test: (1) name resolves and UUID is allowed, (2) name resolves but UUID is not allowed, (3) name does not resolve at all. The silent-fallback path is where access-control bugs hide.
BerriAI/litellm	CLAUDE.md	114	unclassified	- When wiring a new UI entity type to an existing backend endpoint, verify the backend API contract (single value vs. array, required vs. optional params) and ensure the UI controls match — e.g., use a single-select dropdown when the backend accepts a single value, not a multi-select
BerriAI/litellm	CLAUDE.md	117	unclassified	- **Always use `antd` for new UI components** — we are migrating off of `@tremor/react`. Do not introduce new `Badge`, `Text`, `Card`, `Grid`, `Title`, or other imports from `@tremor/react` in any new or modified file. Use `antd` equivalents: `Tag` for labels, `Typography.Text` / `Typography.Title` 
BerriAI/litellm	CLAUDE.md	120	secrets(E1/E7)	- **`available_on_public_internet: false` with `delegate_auth_to_upstream: true` (oauth2, interactive — not `client_credentials`)** — LiteLLM still allows the anonymous upstream PKCE path (no proxy API key for `/authorize` and matching MCP routes). The internal-only flag mainly affects other surface
BerriAI/litellm	CLAUDE.md	121	unclassified	- `TRANSPORT.OPENAPI` is a UI-only concept. The backend only accepts `"http"`, `"sse"`, or `"stdio"`. Always map it to `"http"` before any API call (including pre-OAuth temp-session calls).
BerriAI/litellm	CLAUDE.md	122	unclassified	- FastAPI validation errors return `detail` as an array of `{loc, msg, type}` objects. Error extractors must handle: array (map `.msg`), string, nested `{error: string}`, and fallback.
BerriAI/litellm	CLAUDE.md	124	secrets(E1/E7)	- `client_id` should be optional in the `/authorize` endpoint — if the server has a stored `client_id` in credentials, use that. Never require callers to re-supply it.
BerriAI/litellm	CLAUDE.md	128	secrets(E1/E7)	- When deleting OAuth credentials, check type before deleting to avoid accidentally deleting a BYOK credential for the same `(user_id, server_id)` pair.
BerriAI/litellm	CLAUDE.md	129	secrets(E1/E7)	- Always pass the raw `expires_at` timestamp to the client — never set it to `None` for expired credentials. Let the frontend compute the "Expired" display state from the timestamp.
BerriAI/litellm	CLAUDE.md	133	secrets(E1/E7)	- Never write LiteLLM access tokens or API keys to `localStorage` — use `sessionStorage` only. `localStorage` survives browser close and is readable by any injected script (XSS).
BerriAI/litellm	CLAUDE.md	134	unclassified	- Shared utility functions (e.g. `extractErrorMessage`) belong in `src/utils/` — never define them inline in hooks or duplicate them across files.
BerriAI/litellm	CLAUDE.md	139	unclassified	- Always test migrations against both PostgreSQL and SQLite
BerriAI/litellm	CLAUDE.md	142	unclassified	- **Do not write raw SQL** for proxy DB operations. Use Prisma model methods instead of `execute_raw` / `query_raw`.
BerriAI/litellm	CLAUDE.md	144	unclassified	- **No N+1 queries.** Never query the DB inside a loop. Batch-fetch with `{"in": ids}` and distribute in-memory.
BerriAI/litellm	CLAUDE.md	145	unclassified	- **Batch writes.** Use `create_many`/`update_many`/`delete_many` instead of individual calls (these return counts only; `update_many`/`delete_many` no-op silently on missing rows). When multiple separate writes target the same table (e.g. in `batch_()`), order by primary key to avoid deadlocks.
BerriAI/litellm	CLAUDE.md	147	unclassified	- **Bound large result sets.** Prisma materializes full results in memory. For results over ~10 MB, paginate with `take`/`skip` or `cursor`/`take`, always with an explicit `order`. Prefer cursor-based pagination (`skip` is O(n)). Don't paginate naturally small result sets.
BerriAI/litellm	CLAUDE.md	148	unclassified	- **Limit fetched columns on wide tables.** Use `select` to fetch only needed fields — returns a partial object, so downstream code must not access unselected fields.
BerriAI/litellm	CLAUDE.md	149	unclassified	- **Check index coverage.** For new or modified queries, check `schema.prisma` for a supporting index. Prefer extending an existing index (e.g. `@@index([a])` → `@@index([a, b])`) over adding a new one, unless it's a `@@unique`. Only add indexes for large/frequent queries.
BerriAI/litellm	CLAUDE.md	154	secrets(E1/E7)	- Use `litellm.utils.check_valid_key(model, api_key)` for credential validation — never roll a custom completion call.
BerriAI/litellm	CLAUDE.md	155	secrets(E1/E7)	- Do not hardcode provider env-key names or model lists that already exist in the codebase. Add a `test_model` field to each provider entry to drive `check_valid_key`; set it to `None` for providers that can't be validated with a single API key (Azure, Bedrock, Ollama).
BerriAI/litellm	CLAUDE.md	163	unclassified	- **Never pipe a remote script into a shell** (`curl ... | bash`, `wget ... | sh`). Download the artifact to a file, verify its SHA-256 checksum, then install.
BerriAI/litellm	CLAUDE.md	167	unclassified	- **Don't add tools just because they were there before.** Audit whether an external dependency is still needed. If it can be replaced with a shell one-liner or a tool already in the image, remove it.
BerriAI/litellm	CLAUDE.md	171	unclassified	- **Never close HTTP/SDK clients on cache eviction.** `LLMClientCache._remove_key()` must not call `close()`/`aclose()` on evicted clients — they may still be used by in-flight requests. Doing so causes `RuntimeError: Cannot send a request, as the client has been closed.` after the 1-hour TTL expire
BerriAI/litellm	CLAUDE.md	181	unclassified	3. **Update litellm-proxy-extras** — if the package is installed from PyPI, its migration directory must include the new file. Either update the package or run the migration manually until the next release ships it.
BloopAI/vibe-kanban	AGENTS.md	8	unclassified	- `shared/`: Generated TypeScript types (`shared/types.ts`, `shared/remote-types.ts`) and agent tool schemas (`shared/schemas/`). Do not edit generated files directly.
BloopAI/vibe-kanban	AGENTS.md	23	unclassified	Do not manually edit shared/types.ts, instead edit crates/server/src/bin/generate_types.rs
BloopAI/vibe-kanban	AGENTS.md	26	unclassified	Do not manually edit shared/remote-types.ts, instead edit crates/remote/src/bin/remote-generate-types.rs (see crates/remote/AGENTS.md for details).
BloopAI/vibe-kanban	AGENTS.md	42	unclassified	## Before Completing a Task
BloopAI/vibe-kanban	AGENTS.md	52	unclassified	- Web app: ensure `pnpm run check` and `pnpm run lint` pass. If adding runtime logic, include lightweight tests (e.g., Vitest) in the same directory.
BloopAI/vibe-kanban	AGENTS.md	55	secrets(E1/E7);vcs-commit/push(E2/E5/E11)	- Use `.env` for local overrides; never commit secrets. Key envs: `FRONTEND_PORT`, `BACKEND_PORT`, `HOST`
BloopAI/vibe-kanban	CLAUDE.md	8	unclassified	- `shared/`: Generated TypeScript types (`shared/types.ts`, `shared/remote-types.ts`) and agent tool schemas (`shared/schemas/`). Do not edit generated files directly.
BloopAI/vibe-kanban	CLAUDE.md	23	unclassified	Do not manually edit shared/types.ts, instead edit crates/server/src/bin/generate_types.rs
BloopAI/vibe-kanban	CLAUDE.md	26	unclassified	Do not manually edit shared/remote-types.ts, instead edit crates/remote/src/bin/remote-generate-types.rs (see crates/remote/AGENTS.md for details).
BloopAI/vibe-kanban	CLAUDE.md	42	unclassified	## Before Completing a Task
BloopAI/vibe-kanban	CLAUDE.md	52	unclassified	- Web app: ensure `pnpm run check` and `pnpm run lint` pass. If adding runtime logic, include lightweight tests (e.g., Vitest) in the same directory.
BloopAI/vibe-kanban	CLAUDE.md	55	secrets(E1/E7);vcs-commit/push(E2/E5/E11)	- Use `.env` for local overrides; never commit secrets. Key envs: `FRONTEND_PORT`, `BACKEND_PORT`, `HOST`
CherryHQ/cherry-studio	AGENTS.md	5	unclassified	## Guiding Principles (MUST FOLLOW)
CherryHQ/cherry-studio	AGENTS.md	12	approval-gate(E2/E11)	- **Always propose before executing**: Before making any changes, clearly explain your planned approach and wait for explicit user approval to ensure alignment and prevent unwanted modifications.
CherryHQ/cherry-studio	AGENTS.md	13	test-before(E5)	- **Lint, test, and format before completion**: Coding tasks are only complete after running `pnpm lint`, `pnpm test`, and `pnpm format` successfully.
CherryHQ/cherry-studio	AGENTS.md	15	vcs-commit/push(E2/E5/E11)	- **Sign commits**: Use `git commit --signoff` as required by contributor guidelines.
CherryHQ/cherry-studio	AGENTS.md	19	mediation(E3)	When creating a Pull Request, you MUST use the `gh-create-pr` skill.
CherryHQ/cherry-studio	AGENTS.md	24	unclassified	When reviewing a Pull Request, do NOT run `pnpm lint`, `pnpm test`, or `pnpm format` locally.
CherryHQ/cherry-studio	AGENTS.md	31	unclassified	Only investigate CI failures by reading the logs, not by re-running checks locally.
CherryHQ/cherry-studio	AGENTS.md	35	mediation(E3)	When creating an Issue, you MUST use the `gh-create-issue` skill.
CherryHQ/cherry-studio	AGENTS.md	40	unclassified	> **IMPORTANT**: The `main` branch is now under **code freeze**. Only critical bug fixes submitted via `hotfix/*` branches are accepted. Fix PRs must be minimal in scope and must not include any refactoring code.
CherryHQ/cherry-studio	AGENTS.md	44	unclassified	> The `v2` branch will only accept new feature submissions after all current features have been fully refactored.
CherryHQ/cherry-studio	AGENTS.md	48	unclassified	- **Install**: `pnpm install` — Install all project dependencies (requires Node ≥22, pnpm 10.27.0)
CherryHQ/cherry-studio	AGENTS.md	51	test-before(E5)	- **Build Check**: `pnpm build:check` — **REQUIRED** before commits (`pnpm lint && pnpm test`)
CherryHQ/cherry-studio	AGENTS.md	56	unclassified	- `pnpm test:main` — Main process tests only (Node environment)
CherryHQ/cherry-studio	AGENTS.md	57	unclassified	- `pnpm test:renderer` — Renderer process tests only (jsdom environment)
CherryHQ/cherry-studio	AGENTS.md	58	unclassified	- `pnpm test:aicore` — aiCore package tests only
CherryHQ/cherry-studio	AGENTS.md	130	unclassified	- **Currently undergoing v2 refactor** — only critical bug fixes accepted
CherryHQ/cherry-studio	AGENTS.md	168	unclassified	> **BLOCKED**: Do not add new Redux slices or change existing state shape until v2.0.0.
CherryHQ/cherry-studio	AGENTS.md	175	unclassified	- **BLOCKED**: Do not modify schema until v2.0.0.
CherryHQ/cherry-studio	AGENTS.md	228	unclassified	- Never use `console.log` — always use `loggerService`
CherryHQ/cherry-studio	AGENTS.md	279	unclassified	- All user-visible strings must use `i18next` — never hardcode UI strings
CherryHQ/cherry-studio	AGENTS.md	297	unclassified	- All tests run without CI dependency (fully local)
CherryHQ/cherry-studio	AGENTS.md	299	unclassified	- **Features without tests are not considered complete**
CherryHQ/cherry-studio	AGENTS.md	307	unclassified	- **`main` branch**: Only accepts critical bug fixes via `hotfix/*` branches. Minimal changes, no refactoring.
CherryHQ/cherry-studio	AGENTS.md	320	unclassified	Do not introduce new features to these files. Bug fixes only.
CherryHQ/cherry-studio	AGENTS.md	324	unclassified	- Never expose Node.js APIs directly to renderer; use `contextBridge` in preload
CherryHQ/cherry-studio	CLAUDE.md	5	unclassified	## Guiding Principles (MUST FOLLOW)
CherryHQ/cherry-studio	CLAUDE.md	12	approval-gate(E2/E11)	- **Always propose before executing**: Before making any changes, clearly explain your planned approach and wait for explicit user approval to ensure alignment and prevent unwanted modifications.
CherryHQ/cherry-studio	CLAUDE.md	13	test-before(E5)	- **Lint, test, and format before completion**: Coding tasks are only complete after running `pnpm lint`, `pnpm test`, and `pnpm format` successfully.
CherryHQ/cherry-studio	CLAUDE.md	15	vcs-commit/push(E2/E5/E11)	- **Sign commits**: Use `git commit --signoff` as required by contributor guidelines.
CherryHQ/cherry-studio	CLAUDE.md	19	mediation(E3)	When creating a Pull Request, you MUST use the `gh-create-pr` skill.
CherryHQ/cherry-studio	CLAUDE.md	24	unclassified	When reviewing a Pull Request, do NOT run `pnpm lint`, `pnpm test`, or `pnpm format` locally.
CherryHQ/cherry-studio	CLAUDE.md	31	unclassified	Only investigate CI failures by reading the logs, not by re-running checks locally.
CherryHQ/cherry-studio	CLAUDE.md	35	mediation(E3)	When creating an Issue, you MUST use the `gh-create-issue` skill.
CherryHQ/cherry-studio	CLAUDE.md	40	unclassified	> **IMPORTANT**: The `main` branch is now under **code freeze**. Only critical bug fixes submitted via `hotfix/*` branches are accepted. Fix PRs must be minimal in scope and must not include any refactoring code.
CherryHQ/cherry-studio	CLAUDE.md	44	unclassified	> The `v2` branch will only accept new feature submissions after all current features have been fully refactored.
CherryHQ/cherry-studio	CLAUDE.md	48	unclassified	- **Install**: `pnpm install` — Install all project dependencies (requires Node ≥22, pnpm 10.27.0)
CherryHQ/cherry-studio	CLAUDE.md	51	test-before(E5)	- **Build Check**: `pnpm build:check` — **REQUIRED** before commits (`pnpm lint && pnpm test`)
CherryHQ/cherry-studio	CLAUDE.md	56	unclassified	- `pnpm test:main` — Main process tests only (Node environment)
CherryHQ/cherry-studio	CLAUDE.md	57	unclassified	- `pnpm test:renderer` — Renderer process tests only (jsdom environment)
CherryHQ/cherry-studio	CLAUDE.md	58	unclassified	- `pnpm test:aicore` — aiCore package tests only
CherryHQ/cherry-studio	CLAUDE.md	130	unclassified	- **Currently undergoing v2 refactor** — only critical bug fixes accepted
CherryHQ/cherry-studio	CLAUDE.md	168	unclassified	> **BLOCKED**: Do not add new Redux slices or change existing state shape until v2.0.0.
CherryHQ/cherry-studio	CLAUDE.md	175	unclassified	- **BLOCKED**: Do not modify schema until v2.0.0.
CherryHQ/cherry-studio	CLAUDE.md	228	unclassified	- Never use `console.log` — always use `loggerService`
CherryHQ/cherry-studio	CLAUDE.md	279	unclassified	- All user-visible strings must use `i18next` — never hardcode UI strings
CherryHQ/cherry-studio	CLAUDE.md	297	unclassified	- All tests run without CI dependency (fully local)
CherryHQ/cherry-studio	CLAUDE.md	299	unclassified	- **Features without tests are not considered complete**
CherryHQ/cherry-studio	CLAUDE.md	307	unclassified	- **`main` branch**: Only accepts critical bug fixes via `hotfix/*` branches. Minimal changes, no refactoring.
CherryHQ/cherry-studio	CLAUDE.md	320	unclassified	Do not introduce new features to these files. Bug fixes only.
CherryHQ/cherry-studio	CLAUDE.md	324	unclassified	- Never expose Node.js APIs directly to renderer; use `contextBridge` in preload
ChromeDevTools/chrome-devtools-mcp	AGENTS.md	5	unclassified	- Use only scripts from `package.json` to run commands.
ChromeDevTools/chrome-devtools-mcp	AGENTS.md	13	unclassified	- Do not use `any` type.
ChromeDevTools/chrome-devtools-mcp	AGENTS.md	14	unclassified	- Do not use `as` keyword for type casting.
ChromeDevTools/chrome-devtools-mcp	AGENTS.md	15	unclassified	- Do not use `!` operator for type assertion.
ChromeDevTools/chrome-devtools-mcp	AGENTS.md	16	unclassified	- Do not use `// @ts-ignore` comments.
ChromeDevTools/chrome-devtools-mcp	AGENTS.md	17	unclassified	- Do not use `// @ts-nocheck` comments.
ChromeDevTools/chrome-devtools-mcp	AGENTS.md	18	unclassified	- Do not use `// @ts-expect-error` comments.
ComposioHQ/composio	AGENTS.md	12	readonly(E6)	- Vendor submodules in `ts/vendor/` are **read-only reference only** — do not modify them
ComposioHQ/composio	CLAUDE.md	79	readonly(E6)	- `ts/vendor/effect/` and `ts/vendor/clack/` are **read-only reference submodules** — npm provides the actual deps.
